WASH Zone Name,WASH Woreda Name,Region,NTD Zone ID,NTD Region ID,NTD Woreda,Period,Total Number of Villages (Got) in the Woreda default,Total Number of Villages(Gots) to which HEWs are assigned default,Total Number of HEWs who have been provided with refresher training default,Total number of Households default,Total number of Households with improved toilet default,Total Number of Gots which are OD default,Total Number of Gots which are Primary ODF default,Total Number of Gots which are Secondary ODF default,Total Number of Gots which qualifies for Safely Managed sanitation default,Total number of school in the Woreda default,Total number of schools with Drinking Water with in school premise from protected sources default,Total number of schools with improved toilet default,Total number of schools which are sharing the improved toilet default,Total number of schools having shared toilet and meeting the  standard of toilet for Boys? Default,Total number of schools with separate toilet Block for girls default,Total number of schools with separate toilet block for girls meeting the standard of toilet for girls default,Total number of schools with separate toilet block for boys meeting the standard of toilet for boys default,Total Number of schools with  Handwashing station for children default,Total Number of schools with  Mensrual Hygiene Management system in the school default,Total number of Health Post in the Woreda default,Total number of Health Post with Drinking Water with in Health Post premise from protected sources default,Total number of Health Posts with improved toilet with permanent superstructure default,Total number of Health Posts with Incinerator default,Total number of Health Posts with Placenta Pit default,Total number of Health Posts with Ash pit default,Total number of Health Posts with infectious waste disposal pit default,Total number of Health Centre existing  in the Woreda default,Total number of Health Centre with Drinking Water with in Health Centre premise from protected sources default,Total number of Health Centre Drinking Water in the clinic and other departnets ( inlcuding  the maternity centre/ward) default,Total number of Health Centre with standard improved toilet with permanent superstructure default,Total number of Health Centre with standard improved toilet  with with permanent superstructure  in the maternity centre/ward default,Total number of Health Centre with Incinerator default,Total number of Health Centre with Placenta Pit default,Total number of Health Centre with Ash pit default,Total number of Health Centre with infectious waste disposal pit default
North Wello,Gubalafto,Amhara,ORG00000134,ORG00000053,ORG00000143,2019,396,396,59,,,95,275,26,0,87,37,41,31,11,17,0,10,13,3,31,7,14,1,1,1,0,7,7,7,7,0,7,7,7,0
North Wello,Habru,Amhara,ORG00000134,ORG00000053,ORG00000139,2019,503,484,63,,,399,104,0,0,100,16,69,67,11,9,9,0,0,0,45,6,27,1,0,0,0,7,5,7,7,0,5,5,7,0
North Wello,Woldeya Town,Amhara,ORG00000134,ORG00000053,ORG00000159,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Wello,Lasta ,Amhara,ORG00000134,ORG00000053,ORG00000138,2019,153,81,43,,,117,34,2,,81,33,32,13,3,6,3,2,1,0,6,0,6,0,0,0,0,4,4,2,3,0,4,4,18,0
North Wello,Dawunt,Amhara,ORG00000134,ORG00000053,ORG00000140,2019,114,110,19,,,4,53,57,0,16,12,5,3,8,3,3,5,5,2,14,3,4,0,0,0,0,4,4,4,3,0,4,4,4,0
North Wello,Mersa Town,Amhara,ORG00000134,ORG00000053,,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Wello,Lalibela Town,Amhara,ORG00000134,ORG00000053,ORG00000142,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Wello,Kobo Town,Amhara,ORG00000134,ORG00000053,ORG00000136,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Wello,Gazo,Amhara,ORG00000134,ORG00000053,ORG00000148,2019,109,109,22,,,24,85,0,0,36,8,27,7,1,20,19,20,20,18,15,1,2,1,2,12,0,3,0,3,3,0,3,3,3,0
North Wello,Angot,Amhara,ORG00000134,ORG00000053,ORG00000147,2019,28,28,6,,,18,7,3,0,30,6,9,9,9,9,9,9,9,9,12,3,4,2,1,3,0,2,0,0,1,0,1,1,2,0
Oromiya,Dawa Chefa,Amhara,ORG00000149,ORG00000053,ORG00000154,2019,241,241,32,27558,9149,50,191,0,0,61,28,49,21,22,29,28,27,16,3,26,2,12,0,0,0,0,7,3,1,7,0,7,7,1,0
Oromiya,Bati,Amhara,ORG00000149,ORG00000053,ORG00000153,2019,254,248,28,,,158,96,0,0,59,59,59,0,0,0,0,0,0,0,28,0,28,0,0,0,0,6,0,0,2,0,6,6,0,0
Oromiya,Jile Timuga,Amhara,ORG00000149,ORG00000053,ORG00000152,2019,212,196,21,17798,3199,132,80,0,0,46,10,35,30,18,4,0,3,22,0,21,0,18,0,0,0,0,4,3,3,4,0,3,4,0,0
Oromiya,Artuma Fursi,Amhara,ORG00000149,ORG00000053,ORG00000155,2019,238,196,27,16870,2943,170,68,0,0,21,9,18,16,6,7,6,4,3,0,26,0,3,0,0,0,5,6,3,1,1,0,5,5,5,0
Oromiya,Dawa Harewa,Amhara,ORG00000149,ORG00000053,ORG00000151,2019,78,78,14,9194,3552,56,22,0,0,19,19,15,12,10,8,6,6,8,0,10,2,8,0,0,0,0,2,2,0,2,0,1,2,0,0
Oromiya,Kemise/Town/,Amhara,ORG00000149,ORG00000053,,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oromiya,Bati Town,Amhara,ORG00000149,ORG00000053,ORG00000150,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oromiya,Andabet,Amhara,ORG00000149,ORG00000053,,2019,298,298,23,30771,4555,126,172,0,0,85,19,51,18,12,33,32,33,3,8,22,0,1,0,0,0,0,5,0,0,1,0,1,2,0,0
Oromiya,Ebinet,Amhara,ORG00000149,ORG00000053,ORG00000162,2019,620,552,44,39581,8364,485,135,0,0,595,74,22,8,5,0,5,0,0,0,32,1,1,0,0,0,0,6,2,2,2,0,2,2,2,0
Oromiya,Simada,Amhara,ORG00000149,ORG00000053,ORG00000165,2019,1132,1132,15,31850,1966,1100,32,0,0,71,17,28,15,4,6,4,4,5,0,26,0,3,0,0,0,0,6,0,0,6,0,6,6,6,0
Oromiya,Guna Begemidir,Amhara,ORG00000149,ORG00000053,,2019,311,311,29,17129,3315,119,192,0,0,45,23,32,16,4,23,19,19,12,11,20,3,7,0,0,0,8,3,2,0,3,0,2,3,2,0
Oromiya,Lay Gayint,Amhara,ORG00000149,ORG00000053,ORG00000161,2019,296,291,62,42210,4688,270,26,0,0,126,17,79,56,0,24,0,0,28,0,38,2,13,0,0,0,0,6,2,0,6,0,5,5,5,0
Oromiya,Farta,Amhara,ORG00000149,ORG00000053,ORG00000158,2019,541,539,39,33536,11845,379,160,2,0,81,33,50,30,5,22,20,18,6,16,36,6,16,0,0,0,0,7,1,0,5,0,5,5,5,0
Oromiya,Tach Gayint,Amhara,ORG00000149,ORG00000053,ORG00000161,2019,93,83,5,21937,6658,66,27,0,0,63,5,21,16,19,9,6,5,4,0,20,3,5,1,0,0,0,5,3,0,5,0,5,5,5,
Oromiya,Fogera,Amhara,ORG00000149,ORG00000053,ORG00000168,2019,516,491,41,51094,2721,465,50,1,0,94,41,36,26,22,8,6,8,3,7,45,5,7,0,0,0,0,8,6,0,6,0,4,8,2,0
Oromiya,Dera,Amhara,ORG00000149,ORG00000053,ORG00000169,2019,712,647,69,57036,14177,645,67,0,0,111,41,74,39,31,37,33,37,44,20,43,0,2,0,0,0,0,8,2,1,7,0,7,7,5,0
Oromiya,Libo Kemkem,Amhara,ORG00000149,ORG00000053,ORG00000164,2019,453,453,48,46344,11800,334,119,0,0,97,42,43,12,14,25,23,24,20,16,36,16,12,0,0,0,0,7,3,0,5,0,6,6,5,0
Oromiya,Sede Muja,Amhara,ORG00000149,ORG00000053,,2019,554,554,10,15265,3245,554,0,0,0,50,3,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,1,0,0,1,0,1,1,1,0
Oromiya,Estie,Amhara,ORG00000149,ORG00000053,,2019,542,535,62,45823,7258,156,385,1,0,118,33,28,33,20,14,10,5,4,4,47,0,0,0,0,0,0,10,7,0,10,0,5,4,0,0
Oromiya,Meketewa/Agisa,Amhara,ORG00000149,ORG00000053,,2019,132,132,5,12396,4550,80,52,0,0,26,2,1,2,0,0,0,0,0,0,10,0,0,0,0,0,0,2,1,1,1,0,1,1,1,0
Oromiya,Debretabor/Town/,Amhara,ORG00000149,ORG00000053,,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oromiya,Wereta /Town /,Amhara,ORG00000149,ORG00000053,ORG00000159,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oromiya,Mekaneyesus / Town/,Amhara,ORG00000149,ORG00000053,,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oromiya,Addis Zemen/ Town/,Amhara,ORG00000149,ORG00000053,,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Wello,Mekdela,Amhara,ORG00000170,ORG00000053,ORG00000180,2019,234,233,66,35361,3663,115,119,0,0,88,7,9,9,8,0,0,0,0,0,31,4,4,0,0,0,0,7,4,1,5,0,3,1,0,0
South Wello,Tenta,Amhara,ORG00000170,ORG00000053,ORG00000176,2019,331,331,43,40319,17604,223,93,15,,6,10,17,17,15,0,0,0,0,0,32,1,1,0,0,0,0,9,4,1,8,0,6,7,0,0
South Wello,Kutaber,Amhara,ORG00000170,ORG00000053,ORG00000177,2019,325,325,41,22997,13571,131,164,30,0,48,15,16,8,7,11,8,9,16,0,21,0,5,0,0,0,0,5,1,0,2,0,2,2,0,0
South Wello,Ambasel,Amhara,ORG00000170,ORG00000053,ORG00000179,2019,307,307,37,24402,5150,225,82,0,0,60,29,29,17,17,12,12,12,1,1,24,9,2,2,0,0,0,7,6,1,4,0,4,4,3,0
South Wello,Tehuledere,Amhara,ORG00000170,ORG00000053,ORG00000173,2019,241,235,36,20758,13997,158,25,58,0,27,17,20,14,15,13,10,10,12,8,26,8,5,2,2,2,0,5,5,5,4,0,5,5,5,0
South Wello,Werebabo,Amhara,ORG00000170,ORG00000053,ORG00000184,2019,260,260,23,25321,3356,250,10,0,0,56,9,19,3,1,6,4,0,2,0,20,0,6,3,3,0,0,5,1,0,4,0,5,3,0,0
South Wello,Kalu,Amhara,ORG00000170,ORG00000053,ORG00000175,2019,405,405,0,35903,24103,130,155,120,0,64,13,53,53,0,53,0,0,0,0,30,3,2,0,0,0,0,9,7,7,9,0,8,7,8,0
South Wello,Albuko,Amhara,ORG00000170,ORG00000053,ORG00000182,2019,154,145,28,19394,11058,39,115,0,0,45,11,23,21,18,14,11,1,3,5,16,5,4,2,0,0,0,4,3,1,4,0,4,4,0,0
South Wello,Dessie Zuriya,Amhara,ORG00000170,ORG00000053,ORG00000190,2019,282,282,41,33645,31001,69,213,0,0,72,14,72,72,72,11,1,1,19,25,31,1,3,0,0,0,0,8,2,0,8,0,6,8,0,0
South Wello,Legambo,Amhara,ORG00000170,ORG00000053,ORG00000187,2019,299,215,55,33115,23329,41,258,0,0,68,52,65,49,40,23,20,18,52,17,31,14,10,0,0,0,0,9,9,9,1,0,5,3,1,0
South Wello,Sayint,Amhara,ORG00000170,ORG00000053,ORG00000188,2019,323,304,63,38785,30859,83,238,2,,102,22,19,5,0,4,2,2,1,7,28,0,13,0,0,0,0,7,3,1,4,0,5,4,2,0
South Wello,Kelela,Amhara,ORG00000170,ORG00000053,ORG00000174,2019,318,315,54,28547,7504,99,197,22,0,60,11,9,3,0,9,9,9,0,0,33,0,30,0,0,0,0,8,4,0,6,0,6,8,6,0
South Wello,Jama,Amhara,ORG00000170,ORG00000053,ORG00000185,2019,246,235,25,26157,13742,13,233,0,0,66,32,37,14,3,32,31,14,4,0,24,3,2,0,0,0,0,6,3,0,5,0,5,5,1,0
South Wello,Were Ilu,Amhara,ORG00000170,ORG00000053,ORG00000181,2019,236,236,31,11208,7904,0,235,1,0,51,22,44,44,44,28,8,27,0,0,20,4,3,3,0,0,0,5,3,3,5,0,5,5,0,0
South Wello,Wogidi,Amhara,ORG00000170,ORG00000053,,2019,326,326,47,36582,2988,0,326,0,0,72,6,13,12,12,13,12,12,12,12,35,1,7,0,0,0,0,6,2,2,2,0,6,6,0,0
South Wello,Mehal Sayint,Amhara,ORG00000170,ORG00000053,ORG00000171,2019,57,57,25,16693,3295,39,18,0,0,44,13,9,2,1,8,0,8,7,1,15,3,1,0,0,0,0,5,3,0,1,0,1,4,0,0
South Wello,Legahida,Amhara,ORG00000170,ORG00000053,ORG00000172,2019,180,179,12,15924,14636,12,168,0,0,46,18,23,12,8,19,17,20,16,14,15,1,4,1,2,1,0,4,3,1,2,0,2,2,2,0
South Wello,Delanta,Amhara,ORG00000170,ORG00000053,ORG00000200,2019,295,260,46,24880,16752,117,178,0,0,57,29,2,2,0,23,0,0,2,0,31,21,1,0,0,0,0,6,4,1,4,0,3,4,1,0
South Wello,Argoba,Amhara,ORG00000170,ORG00000053,ORG00000186,2019,86,80,12,9357,5473,6,80,0,0,30,5,5,3,1,1,0,1,0,0,8,1,3,0,0,0,0,2,1,0,2,0,1,1,0,0
South Wello,Kombolcha/Town/,Amhara,ORG00000170,ORG00000053,ORG00000192,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Wello,Mekane Selam Town,Amhara,ORG00000170,ORG00000053,,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Wello,Haik Town,Amhara,ORG00000170,ORG00000053,ORG00000150,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Wello,Wereilu Town,Amhara,ORG00000170,ORG00000053,ORG00000181,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Wello,Borena,Amhara,ORG00000170,ORG00000053,,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wag Himra,Ziquala,Amhara,ORG00000193,ORG00000053,ORG00000198,2019,161,161,8,,,151,10,0,0,28,1,11,1,11,8,4,5,0,0,15,0,3,0,0,0,0,5,0,0,3,3,3,3,0,0
Wag Himra,Sekota,Amhara,ORG00000193,ORG00000053,ORG00000195,2019,525,517,49,,,525,0,0,0,109,1,14,14,14,11,11,4,2,0,35,0,3,1,0,0,0,7,2,1,6,6,4,6,0,0
Wag Himra,Dehana,Amhara,ORG00000193,ORG00000053,ORG00000200,2019,531,531,42,,,390,141,0,0,61,13,21,16,19,13,3,6,0,0,32,0,9,0,0,0,0,6,1,0,5,4,5,1,0,0
Wag Himra,Gazgibla,Amhara,ORG00000193,ORG00000053,ORG00000199,2019,335,335,35,,,260,75,0,0,37,5,11,8,2,9,9,10,7,0,20,1,2,0,0,0,0,5,1,0,2,5,5,4,0,0
Wag Himra,Abergele,Amhara,ORG00000193,ORG00000053,ORG00000194,2019,166,166,11,,,113,53,0,0,99,3,8,4,4,3,4,4,4,0,15,0,2,0,0,0,0,5,1,1,1,1,3,3,0,0
Wag Himra,Sekota/Town/,Amhara,ORG00000193,ORG00000053,ORG00000195,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wag Himra,Sehala  Seyemet,Amhara,ORG00000193,ORG00000053,ORG00000197,2019,121,121,8,,,42,79,0,0,25,0,5,1,0,4,4,4,0,,13,0,2,0,0,12,0,3,0,0,3,1,2,1,0,0
West Gojam,Semen Achefer,Amhara,ORG00000201,ORG00000053,,2019,357,345,57,46821,,326,18,13,0,65,19,36,36,0,27,2,1,0,0,27,0,1,0,0,0,0,7,4,1,6,0,6,7,3,0
West Gojam,Bahir Dar Zuriya,Amhara,ORG00000201,ORG00000053,ORG00000214,2019,330,301,67,45690,17133,137,193,0,0,65,32,43,30,31,37,27,27,26,34,32,1,11,0,0,0,0,9,1,0,6,0,7,8,0,0
West Gojam,Yilmana Densa,Amhara,ORG00000201,ORG00000053,ORG00000204,2019,274,242,37,27093,1808,198,76,0,0,76,15,10,5,2,7,5,5,1,1,27,0,2,0,0,0,0,7,2,1,3,0,3,5,4,0
West Gojam,Semen Mecha,Amhara,ORG00000201,ORG00000053,,2019,378,372,82,184201,16272,293,74,11,,79,16,15,0,1,1,0,1,1,1,40,6,7,1,2,1,0,10,7,0,7,0,6,8,1,0
West Gojam,Sekela,Amhara,ORG00000201,ORG00000053,ORG00000210,2019,449,447,35,23300,14102,54,58,337,,88,36,35,28,16,19,9,9,25,0,40,4,7,3,2,3,0,8,1,2,,7,8,7,7,0
West Gojam,Quarit,Amhara,ORG00000201,ORG00000053,ORG00000216,2019,440,424,26,23642,16224,116,298,26,0,63,20,16,7,3,9,5,7,6,2,33,1,1,0,0,0,0,6,4,1,3,0,4,4,1,0
West Gojam,Dega Damot,Amhara,ORG00000201,ORG00000053,ORG00000206,2019,600,599,67,39121,,351,200,49,0,88,51,46,24,11,21,18,19,14,10,33,3,4,0,0,0,0,7,5,1,3,0,5,6,3,0
West Gojam,Dembecha,Amhara,ORG00000201,ORG00000053,ORG00000217,2019,293,293,47,,,42,218,33,0,79,28,43,37,15,7,2,3,2,0,30,2,14,1,0,1,0,6,5,1,4,0,6,4,2,0
West Gojam,Jabi Tehinan,Amhara,ORG00000201,ORG00000053,ORG00000203,2019,373,372,58,35205,16314,246,127,0,0,92,21,24,22,17,14,9,9,5,5,37,2,8,0,0,0,0,11,6,1,7,0,6,5,5,0
West Gojam,Bure zuria,Amhara,ORG00000201,ORG00000053,ORG00000211,2019,243,241,44,26038,,121,122,0,0,52,14,10,4,4,5,4,3,4,5,20,0,6,0,1,0,0,5,2,0,5,0,5,5,1,0
West Gojam,Wenberma,Amhara,ORG00000201,ORG00000053,ORG00000208,2019,235,232,46,21471,9845,101,134,0,0,57,14,28,26,1,1,0,0,2,10,20,7,7,0,0,0,0,5,3,0,4,,5,5,5,0
West Gojam,Debub Achefer,Amhara,ORG00000201,ORG00000053,,2019,299,299,39,1302,1142,232,67,0,0,72,44,5,5,0,0,0,0,0,0,23,2,0,0,0,0,0,8,6,4,2,0,8,8,8,0
West Gojam,Finote Selam /Town/,Amhara,ORG00000201,ORG00000053,ORG00000213,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Gojam,Gonjqolola,Amhara,ORG00000201,ORG00000053,,2019,327,326,46,,,63,264,0,0,49,24,18,0,0,0,0,0,0,0,26,0,1,0,0,0,0,6,2,0,6,0,4,6,0,0
West Gojam,Merawi /Town/,Amhara,ORG00000201,ORG00000053,,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Gojam,Burie /Town/,Amhara,ORG00000201,ORG00000053,ORG00000209,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Gojam,Adet/Town,Amhara,ORG00000201,ORG00000053,,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Gojam,Debub Mecha ,Amhara,ORG00000201,ORG00000053,,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,1,0,1,1,0,0
West Gojam,Denbecha /Town/,Amhara,ORG00000201,ORG00000053,,2019,9,9,2,,,9,0,0,0,4,3,4,4,2,0,0,0,0,0,2,0,0,0,0,0,0,,,,,,,,,
Assosa,Assosa,Benishangul Gumuz,ORG00000219,ORG00000218,ORG00000220,2019,459,459,149,24422,13087,0,459,0,0,56,13,,,,,19,19,21,0,69,22,56,6,6,61,0,4,2,0,4,4,4,4,4,1
Assosa,Bambasi,Benishangul Gumuz,ORG00000219,ORG00000218,ORG00000230,2019,156,145,85,12095,2539,38,118,0,0,50,23,,,,,3,3,0,0,41,10,30,0,0,41,41,2,1,1,2,1,1,2,1,1
Assosa,Homosha,Benishangul Gumuz,ORG00000219,ORG00000218,ORG00000225,2019,80,80,30,6566,1301,18,62,0,0,17,3,,,,,2,2,1,0,13,4,8,0,0,0,0,1,1,1,1,1,1,1,1,1
Assosa,Kumruk,Benishangul Gumuz,ORG00000219,ORG00000218,ORG00000221,2019,45,45,34,3879,2357,8,37,0,0,14,1,,,,,0,0,8,0,16,0,9,1,3,3,8,1,0,0,1,0,1,1,1,1
Assosa,Menge,Benishangul Gumuz,ORG00000219,ORG00000218,ORG00000222,2019,137,137,47,12152,5823,12,125,0,0,26,18,,,,,12,12,1,0,20,10,17,0,0,20,0,2,2,1,2,0,2,1,2,0
Assosa,Oda,Benishangul Gumuz,ORG00000219,ORG00000218,,2019,126,121,54,16485,12858,0,126,0,0,25,3,,,,,6,6,0,0,19,1,18,0,0,0,19,4,3,0,4,0,4,4,4,4
Assosa,Sherkole,Benishangul Gumuz,ORG00000219,ORG00000218,ORG00000226,2019,74,74,36,6014,3783,20,54,0,0,22,0,,,,,0,0,13,1,13,4,11,6,5,0,13,2,1,0,2,0,2,2,0,2
Kamashi,Agalo Meti,Benishangul Gumuz,ORG00000228,ORG00000218,ORG00000231,2019,70,63,29,6788,564,70,0,0,0,17,6,,,,,2,2,4,2,12,3,9,0,0,0,0,2,1,0,2,1,2,2,0,2
Kamashi,Belo Jiganfoy,Benishangul Gumuz,ORG00000228,ORG00000218,ORG00000233,2019,57,57,25,9147,4422,57,0,0,0,17,11,,,,,4,4,11,11,12,3,10,0,0,0,0,2,2,2,2,1,2,2,0,2
Kamashi,Kamashi,Benishangul Gumuz,ORG00000228,ORG00000218,ORG00000230,2019,69,69,29,5400,2396,57,12,0,0,20,10,,,,,16,16,12,2,10,0,7,0,0,0,0,1,1,0,1,1,1,1,0,1
Kamashi,Sedal,Benishangul Gumuz,ORG00000228,ORG00000218,,2019,45,45,22,5434,914,30,15,0,0,13,4,,,,,3,3,0,2,15,0,15,1,0,0,0,1,1,0,1,1,1,1,0,1
Kamashi,Yaso,Benishangul Gumuz,ORG00000228,ORG00000218,ORG00000232,2019,65,65,21,6322,1364,59,6,0,0,18,4,,,,,7,7,3,0,9,2,8,1,3,0,0,1,1,0,1,0,1,1,0,1
Metekel,Bullen,Benishangul Gumuz,ORG00000234,ORG00000218,ORG00000237,2019,111,109,28,11716,8562,91,20,0,0,26,16,4,4,22,0,17,2,12,14,1,9,16,4,2,1,4,0,4,4,4,4,,,,
Metekel,Dangur,Benishangul Gumuz,ORG00000234,ORG00000218,ORG00000235,2019,179,177,49,15284,5140,105,74,0,0,45,8,3,3,16,0,25,6,23,2,2,24,0,3,2,0,3,3,3,3,3,0,,,,
Metekel,Dibate,Benishangul Gumuz,ORG00000234,ORG00000218,ORG00000239,2019,223,181,54,20129,6684,174,49,0,0,43,4,4,4,0,0,26,3,19,7,0,0,0,4,2,2,4,4,4,2,4,4,,,,
Metekel,Guba,Benishangul Gumuz,ORG00000234,ORG00000218,ORG00000238,2019,66,66,28,5773,487,65,1,0,0,17,4,1,1,1,0,16,0,16,5,5,5,16,1,1,1,1,0,1,1,1,1,,,,
Metekel,Mandura,Benishangul Gumuz,ORG00000234,ORG00000218,ORG00000236,2019,100,93,44,12407,2154,57,43,0,0,32,4,0,0,0,0,23,1,23,23,0,0,8,1,1,1,1,1,1,1,0,1,,,,
Metekel,Pawe,Benishangul Gumuz,ORG00000234,ORG00000218,ORG00000241,2019,68,68,40,13756,2596,28,40,0,0,37,24,5,5,24,2,20,12,17,13,1,20,0,2,2,1,2,2,1,2,2,2,,,,
Metekel,Wombera,Benishangul Gumuz,ORG00000234,ORG00000218,ORG00000240,2019,177,139,16,18465,2102,125,52,0,0,36,8,1,1,1,1,26,8,22,9,1,0,0,3,1,0,1,1,2,2,1,0,,,,
Maokomo Sp. Woreda,Maokomo Sp. Woreda,Benishangul Gumuz,,ORG00000218,,2019,193,193,65,11044,834,39,154,0,0,41,2,7,7,7,1,27,6,15,6,6,6,6,3,1,1,3,0,3,2,3,3,,,,
Dire Dawa,Biyo awale cluster,Dire Dawa,ORG00000257,ORG00000256,,2019,143,143,0,9949,1732,129,14,0,0,15,9,15,14,5,1,0,0,3,0,10,5,9,0,9,0,10,2,2,2,2,2,2,2,2,2
Dire Dawa,wahil cluster,Dire Dawa,ORG00000257,ORG00000256,,2019,51,51,0,4167,2740,40,11,0,0,8,6,8,8,0,0,0,0,0,0,5,5,5,0,0,0,0,2,1,0,1,0,2,2,2,0
Dire Dawa,jeldessa cluster,Dire Dawa,ORG00000257,ORG00000256,,2019,71,71,0,16202,795,71,0,0,0,10,6,9,10,0,0,0,0,0,0,6,3,6,0,6,0,0,2,2,0,2,0,2,2,2,0
Dire Dawa,Asseliso cluster,Dire Dawa,ORG00000257,ORG00000256,,2019,47,47,5,7099,3792,41,6,0,0,9,5,7,8,4,0,0,0,0,0,6,4,6,0,3,0,0,1,1,1,1,1,1,1,1,1
Dire Dawa,Legehare                  ,Dire Dawa,ORG00000257,ORG00000256,,2019,15,15,0,1830,707,15,0,0,0,4,3,3,3,3,2,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Dire Dawa,addis ketema           ,Dire Dawa,ORG00000257,ORG00000256,,2019,48,48,0,5708,563,48,0,0,0,5,3,2,2,2,2,2,0,2,0,4,3,4,1,2,0,0,1,1,1,1,1,1,1,1,1
Dire Dawa,sabiyan ,Dire Dawa,ORG00000257,ORG00000256,ORG00000264,2019,6,6,0,838,56,6,0,0,0,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
Agnewak                  ,Abobo,Gambella,ORG00000268,ORG00000267,ORG00000284,2019,65,59,22,5250,441,43,22,0,0,20,12,15,14,12,12,12,12,1,1,15,3,12,12,0,0,0,4,3,1,4,1,4,4,3,3
Agnewak                  ,Gambella Zuriya         ,Gambella,ORG00000268,ORG00000267,,2019,49,49,23,3289,67,47,2,0,0,13,3,1,0,0,1,1,1,1,1,13,0,9,9,0,0,0,2,0,0,2,0,2,0,0,0
Agnewak                  ,Gog                    ,Gambella,ORG00000268,ORG00000267,,2019,59,48,33,4793,0,59,0,0,0,11,5,3,2,0,1,1,1,2,2,16,3,3,2,1,0,0,2,2,0,2,2,2,2,0,0
Agnewak                  ,Jor                    ,Gambella,ORG00000268,ORG00000267,,2019,50,50,20,2843,0,50,0,0,0,20,6,4,4,4,3,3,3,0,0,5,1,3,4,1,0,0,0,0,0,0,0,0,0,0,0
Agnewak                  ,Dima                   ,Gambella,ORG00000268,ORG00000267,,2019,72,58,69,5931,306,62,10,0,0,22,4,8,7,2,1,1,2,0,0,21,1,7,7,1,4,1,3,1,1,2,1,3,2,1,0
Town administration,Gambela/Town/         ,Gambella,,ORG00000267,,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Etang Special          ,Etang Special          ,Gambella,,ORG00000267,,2019,95,95,45,14309,1998,91,4,0,0,19,12,12,12,11,12,5,1,0,0,7,5,7,7,0,0,0,3,3,1,3,3,3,3,0,1
Mejenger                ,Godare                 ,Gambella,ORG00000278,ORG00000267,,2019,111,111,25,11934,1822,50,61,0,0,16,2,4,3,1,0,1,1,1,1,14,0,5,4,0,0,0,2,1,1,2,2,2,1,0,0
Mejenger                ,Mengesh                ,Gambella,ORG00000278,ORG00000267,,2019,89,89,29,8619,1403,45,44,0,0,20,9,12,9,2,4,2,2,7,2,17,8,9,6,2,4,2,3,2,1,2,1,2,2,1,1
Nuwer                    ,Akobo,Gambella,ORG00000281,ORG00000267,ORG00000284,2019,21,21,28,7654,0,21,0,0,0,10,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Nuwer                    ,Lare                   ,Gambella,ORG00000281,ORG00000267,,2019,64,64,76,10249,67,64,0,0,0,27,7,10,9,9,2,1,2,0,1,11,5,10,8,1,0,0,2,1,0,1,0,2,1,0,0
Nuwer                    ,Jikawo                 ,Gambella,ORG00000281,ORG00000267,,2019,75,75,60,5815,378,75,0,0,0,8,8,6,3,0,2,2,2,0,0,9,3,4,4,0,0,0,2,1,1,1,1,1,0,0,0
Nuwer                    ,Wantawo                ,Gambella,ORG00000281,ORG00000267,,2019,71,71,35,6821,0,71,0,0,0,11,7,5,4,4,4,3,0,1,0,8,0,5,5,0,0,0,2,1,0,2,0,1,1,1,0
Nuwer                    ,Makouy,Gambella,ORG00000281,ORG00000267,ORG00000282,2019,89,89,28,4706,1327,89,0,0,0,13,0,6,6,6,6,0,6,0,1,10,3,4,5,4,5,0,3,2,0,2,2,2,2,0,0
