woreda,woreda uid,zone,zone id,region,region id
Degem,ORG00000554,North Shoa Zone,ORG00000543,Oromia,ORG00000311
Degua Temben,ORG00000977,South East ,ORG00000975,Tigray,ORG00000934
Dehana,ORG00000200,Wag Hemra,ORG00000193,Amhara,ORG00000053
Dejen,ORG00000070,E. Gojam,ORG00000066,Amhara,ORG00000053
Deka suftu,ORG00000900,Liban  ,ORG00000896,Somali,ORG00000843
Delo Mena,ORG00000358,Bale  ,ORG00000340,Oromia,ORG00000311
Demba Gofa,ORG00000701,Gamo Gofa ,ORG00000692,SNNPR,ORG00000668
Dembia,ORG00000091,N. Gonder,ORG00000085,Amhara,ORG00000053
Demibecha,ORG00000217,West Gojam,ORG00000201,Amhara,ORG00000053
Dendi,ORG00000605,W. Shewa ,ORG00000589,Oromia,ORG00000311
Dera,ORG00000169,S. Gonder,ORG00000157,Amhara,ORG00000053
Derashe,ORG00000765,Segen  ,ORG00000764,SNNPR,ORG00000668
Dermalo,ORG00000704,Gamo Gofa ,ORG00000692,SNNPR,ORG00000668
Derra,ORG00000551,North Shoa Zone,ORG00000543,Oromia,ORG00000311
Dessie Town,ORG00000191,S. Wello,ORG00000170,Amhara,ORG00000053
Dessie zuria,ORG00000190,S. Wello,ORG00000170,Amhara,ORG00000053
Dewe,ORG00000039,Gabi,ORG00000035,Afar,ORG00000013
Dhanan,ORG00000923,Shebele  ,ORG00000914,Somali,ORG00000843
Dhas,ORG00000371,Borena  ,ORG00000361,Oromia,ORG00000311
Dibate,ORG00000239,Metekel,ORG00000234,Beneshangul Gumuz,ORG00000218
Didu,ORG00000499,Illu Aba bora,ORG00000493,Oromia,ORG00000311
Diediesa,ORG00000380,Buno Bedele,ORG00000377,Oromia,ORG00000311
Diga,ORG00000430,E. Wellega ,ORG00000431,Oromia,ORG00000311
Digelu & Tijo,ORG00000322,Arsi  ,ORG00000312,Oromia,ORG00000311
Diksis,ORG00000318,Arsi  ,ORG00000312,Oromia,ORG00000311
Dilla Town,ORG00000716,Gedio  ,ORG00000710,SNNPR,ORG00000668
Dilla Zurya,ORG00000714,Gedio  ,ORG00000710,SNNPR,ORG00000668
Dillo,ORG00000367,Borena  ,ORG00000361,Oromia,ORG00000311
Dimma,ORG00000271,Agnua II ,ORG00000268,Gambella,ORG00000267
Dinsho,ORG00000347,Bale  ,ORG00000340,Oromia,ORG00000311
Dire,ORG00000364,Borena  ,ORG00000361,Oromia,ORG00000311
Dire,ORG00000366,Borena  ,ORG00000361,Oromia,ORG00000311
Dire Dawa,ORG00000266,Dire Dawa,ORG00000257,Dire Dawa,ORG00000256
Dire Inchini (Tikur Inchini),ORG00000594,W. Shewa ,ORG00000589,Oromia,ORG00000311
Dire Teyara,ORG00000305,Harare  ,ORG00000301,Harare,ORG00000299
Dita,ORG00000695,Gamo Gofa ,ORG00000692,SNNPR,ORG00000668
Doba,ORG00000582,W. Harerge ,ORG00000571,Oromia,ORG00000311
Dobowayn,ORG00000895,Korahe  ,ORG00000889,Somali,ORG00000843
Dodola,ORG00000623,West Arsi ,ORG00000613,Oromia,ORG00000311
Dodola Town,ORG00000616,West Arsi ,ORG00000613,Oromia,ORG00000311
Dodota,ORG00000326,Arsi  ,ORG00000312,Oromia,ORG00000311
Doloado,ORG00000897,Liban  ,ORG00000896,Somali,ORG00000843
Dolobay,ORG00000849,Afder  ,ORG00000844,Somali,ORG00000843
Doreni,ORG00000498,Illu Aba bora,ORG00000493,Oromia,ORG00000311
Doyogena,ORG00000760,Kembata Tembaro ,ORG00000755,SNNPR,ORG00000668
